제목,저자,역자,출간일,페이지수,가격
처음 배우는 통계학,"이호선, 유현미, 김종배", ,2020-01-20,404,27000
기초수학 : Basic Mathematics(2판),이재원, ,2020-01-10,312,20000
"IT CookBook, 4차 산업혁명 시대의 정보통신개론",고응남, ,2020-01-06,600,25000
"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",이영주, ,2020-01-06,552,27000
"IT CookBook, UI/UX 디자인 이론과 실습 with Adobe XD",이영주, ,2020-01-06,560,28000
"IT CookBook, 객체 지향 설계와 분석을 위한 UML 기초와 응용","한정수, 김귀정", ,2020-01-06,336,24000
"IT CookBook, 리눅스 실습 for Beginner",우재남, ,2020-01-06,488,24000
"IT CookBook, 비주얼 베이직 2019 입문",임관철, ,2020-01-06,436,25000
"IT CookBook, 스크래치로 배우는 컴퓨팅 사고","조성호, 고광일", ,2020-01-06,384,21000
"IT CookBook, 엑셀로 배우는 데이터 분석",박주미, ,2020-01-06,480,21000
"IT CookBook, 초연결 사회를 위한 컴퓨터 개론",조성호, ,2020-01-06,538,26000
NO BULLSHIT 선형대수학 가이드,Ivan Savov,"김대정, 모현선, 배준우",2020-01-06,628,28000
NO BULLSHIT 수학&물리 가이드,Ivan Savov,권기영,2020-01-06,568,28000
실무로 완성하는 PLC(멜섹Q) : 서보를 이용한 위치 제어,정완보, ,2020-01-02,568,28000
"College Physics, 5th Edition",Alan Giambattista, ,2020-01-01,1232,52000
Stata로 끝내는 논문,정규형, ,2019-12-09,372,25000
"Business Statistics: For Contemporary Decision Making, 10th Edition, Asia Edition",Ken Black, ,2019-12-01,832,49000
"IT CookBook, 유닉스 이론과 실습(3판)","이종원, 윤소정", ,2019-11-13,568,25000
"IT CookBook, 경영경제통계학",유영태, ,2019-10-18,472,28000
"Swedu, 정보적 사고에서 인공 지능까지",김현철, ,2019-09-28,184,19000
"IT CookBook, 문제 해결력을 키우는 디자인 씽킹","이정현, 송태란", ,2019-09-10,300,22000
직무·인사시스템과 인적자원관리,이춘우, ,2019-09-10,678,32000
경영이란 무엇인가,이건창, ,2019-08-31,200,20000
K-IFRS 회계 트래킹,최진현, ,2019-08-30,412,25000
자재 재고관리 이론과 실제,김정, ,2019-08-25,181,15000
경영조직론,"변상우, 박형근", ,2019-08-20,382,27000
쉽고 재미있는 창업회계,"정재권, 이장희, 곽종민", ,2019-08-20,410,28000
의사결정을 위한 현대통계학,"강병서, 조철호, 이은지, 김병희", ,2019-08-20,549,30000
인적자원관리,"변상우, 윤두열", ,2019-08-20,475,28000
인적자원관리론,"양춘희, 신형재, 권용만, 정용배", ,2019-08-20,372,27000
"IT CookBook, 최신 컴퓨터 구조","임석구, 홍경호", ,2019-08-17,616,28000
"IT CookBook , MySQL로 배우는 데이터베이스 개론과 실습","박우창, 남송휘, 이현룡", ,2019-08-15,572,27000
그림으로 배우는 기초통계학(제4판),박상규, ,2019-08-10,410,27000
"IT CookBook, HTML5 웹 프로그래밍 입문(3판)",윤인성, ,2019-07-20,488,26000
"IT CookBook, 컴퓨터 활용과 실습 2016",김주영, ,2019-07-15,520,24000
"IT Cookbook, 처음 만나는 전자회로",황형수, ,2019-07-10,440,24000
스트랭 미분방정식과 선형대수학,Gilbert Strang,한빛수학교재연구소,2019-07-09,552,30000
"IT CookBook, 네트워크 개론(3판)",진혜진, ,2019-07-05,516,25000
"IT CookBook, 텐서플로로 배우는 딥러닝","박혜정, 석경하, 심주용, 황창하", ,2019-06-30,448,27000
"IT CookBook, 파워포인트 2016",김지연, ,2019-06-29,420,19000
"SWedu, 스크래치 3.0 : 컴퓨팅 사고력을 키우는 블록 코딩",고광일, ,2019-06-10,392,22000
"IT CookBook, design school 포토샵 & 일러스트레이터 CC 2019",이영주, ,2019-06-06,616,23000
"IT CookBook, PHP 프로그래밍 입문(3판)",황재호, ,2019-05-20,456,25000
칼만 필터는 어렵지 않아 with MATLAB Examples,김성필, ,2019-05-20,256,26000
"IT CookBook, R로 배우는 데이터 과학","양윤석, 오일석, 강래형", ,2019-05-08,440,27000
"IT CookBook, design school 포토샵 CC 2019",이영주, ,2019-04-19,540,22000
마켓 4.0시대의 마케팅원론,"신건철, 김종락, 박지형, 김시영", ,2019-03-10,530,34000
경영학원론(제5판),이기호, ,2019-03-05,351,24000
마켓 4.0시대의 온라인 커머스전략,김종락, ,2019-03-05,382,26000
세계화 4.0 시대의 무역개론(제6판),이장로, ,2019-03-05,468,29000
제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS (개정증보판),노경섭, ,2019-02-28,460,28000
이산수학 : tool 중심으로 이해하는 새로운 시각,박두순, ,2019-01-31,484,24000
"IT CookBook, 따라 하면서 배우는 마이크로컨트롤러",허경용, ,2019-01-28,528,28000
스트랭 미분적분학,Gilbert Strang,한빛수학교재연구소,2019-01-02,872,34000
"IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍",최성철, ,2019-01-01,536,25000
"IT CookBook, 데이터베이스 for Beginner",우재남, ,2019-01-01,520,24000
한번에 통과하는 논문 : AMOS 구조방정식 활용과 SPSS 고급 분석,히든그레이스 논문통계팀, ,2018-12-24,536,28000
공학도라면 반드시 알아야 할 최소한의 과학,John Bird,권기영,2018-12-21,456,24000
"IT CookBook, 전공자를 위한 C 언어 프로그래밍",주우석, ,2018-12-14,668,29000
"IT CookBook, design school 프리미어 프로 CC",강재신, ,2018-12-07,532,25000
"IT CookBook, design school 일러스트레이터 CC",이영주, ,2018-11-30,428,23000
"IT CookBook, 모바일 & 데스크톱을 위한 웹 기획 프로세스",강은정, ,2018-11-25,424,24000
"IT CookBook, 시스템 해킹과 보안(3판)",양대일, ,2018-11-12,568,27000
"IT CookBook, 자바 프로그래밍 for Beginner",우재남, ,2018-11-10,600,26000
"IT CookBook, 쉽게 배우는 JSP 웹 프로그래밍",송미영, ,2018-10-08,636,27000
NCS를 기반으로 한 직무 기초수학,"이광연, 조성훈, 최상일", ,2018-10-05,408,22000
수치해석학 바이블,"Ward Cheney, David Kincaid","이병준, 한희재",2018-09-28,676,34000
"IT CookBook, 모바일 UI/UX 디자인 실무",이영주, ,2018-07-09,528,28000
"IT CookBook, R로 배우는 딥러닝","박혜정, 석경하, 심주용, 황창하", ,2018-06-30,240,23000
"SWedu, 엔트리파이선","정영식, 홍은미, 김슬기, 김성훈", ,2018-06-30,264,22000
"IT CookBook, 엑셀 2016",김지연, ,2018-06-29,412,19000
만만한 통계 : Excel 활용,닐 샐카인드(Neil J. Salkind),김재경,2018-06-29,476,26000
수식이 보이는 공학수학 : Engineering Mathematics (개정판),장윤석, ,2018-06-20,476,24000
2030 젊은이에게 전하고픈 삶의 법칙들,김종배, ,2018-06-15,512,22000
"IT CookBook, 핵심이 보이는 전자회로 with PSPICE(개정판)",신경욱, ,2018-04-30,660,32000
MOS 2016 액세스,"김경희, 오해강", ,2018-04-17,292,14000
MATLAB으로 배우는 공학수학 : Engineering Mathematics (개정판),소상균, ,2018-04-05,744,28000
한번에 통과하는 논문 : SPSS 결과표 작성과 해석 방법,히든그레이스 논문통계팀, ,2018-03-28,420,23000
"IT CookBook, C++ 트레이닝",김상형, ,2018-03-25,484,26000
4차 산업혁명 시대의 기업 혁신을 위한 비즈니스 프로세스,"정승렬, 이정규", ,2018-03-10,484,29000
미분적분학 바이블,제임스 스튜어트,한빛수학교재연구소,2018-03-01,948,36000
"IT CookBook, 핵심이 보이는 제어공학(개정판)",김성중, ,2018-02-28,564,26000
글로벌 수출마케팅,권영철, ,2018-02-20,363,25000
4차산업혁명시대의 경영정보시스템,김세중, ,2018-02-15,511,29000
현대재무관리(전정7판),조담, ,2018-02-15,518,33000
쉽고 빠르게 합격하는 COS 2급,이연란, ,2018-02-12,324,16200
생각하며 배우는 대학물리학,이기영, ,2018-02-02,632,30000
"IT CookBook, 소프트웨어 세상을 여는 컴퓨터 과학",김종훈, ,2018-01-26,376,22000
"IT CookBook, 쉽게 배우는 알고리즘(개정판)",문병로, ,2018-01-20,528,27000
MOS 2016 아웃룩,"김경희, 오해강", ,2018-01-19,248,14000
"IT CookBook, 확률과 랜덤 과정",정호영, ,2018-01-15,340,23000
"IT CookBook, 기초부터 시작하는 PLC: 지멘스 S7-1500",정완보, ,2018-01-10,492,23000
미분적분학 에센스,제임스 스튜어트,한빛수학교재연구소,2018-01-08,516,30000
"IT CookBook, 기초 회로이론(개정 2판)",최윤식, ,2017-12-28,484,24000
"IT CookBook , 엑셀과 파워포인트 2016",김지연, ,2017-12-27,512,22000
"IT CookBook, 기본 개념과 핵심 원리로 배우는 C++ 프로그래밍",김화수, ,2017-12-22,624,28000
"SWedu, 파이선으로 쉽게 배우는 프로그래밍 입문",조인석, ,2017-12-21,376,21000
"IT CookBook, 단계별로 배우는 안드로이드 프로그래밍",김선우, ,2017-12-08,740,35000
기계 학습,오일석, ,2017-12-05,664,32000
"IT CookBook, C 언어 트레이닝",김상형, ,2017-12-04,524,25000
"IT CookBook, 전기전자공학 개론(개정 6판)","Stan Gibilisco, Simon Monk","권기영, 조성재, 유태훈",2017-11-30,828,32000
"IT CookBook, 핵심이 보이는 전자회로 실험 with PSPICE",신경욱, ,2017-11-30,464,25000
"IT CookBook, 페도라 리눅스(개정판)",이종원, ,2017-11-10,856,29000
금융포용과 금융약자를 위한 미래,"남주하, 김정렬, 김영준, 박정수", ,2017-11-10,306,22000
한번에 통과하는 논문 : 논문 검색과 쓰기 전략,히든그레이스 논문통계팀, ,2017-11-05,332,18900
"SWedu, 비트브릭","김경하, 박승미, 최선경, 이민아, 김진선, 강병수, 이신영", ,2017-10-22,344,19000
MOS 2016 워드 Expert,"김경희, 오해강", ,2017-10-20,256,14000
MOS 2016 엑셀 Expert,"김경희, 오해강", ,2017-09-11,312,14000
MOS 2016 파워포인트,"김경희, 오해강", ,2017-09-11,248,14000
4차 산업혁명 시대의 경영정보시스템,이동훈, ,2017-08-08,476,28000
"IT CookBook, 차세대 웹 프로그래밍",홍성용, ,2017-07-30,468,26000
개념이 잡히는 디지털 전자회로,강영국, ,2017-07-27,716,29000
문과생도 이해하는 전기전자수학,야마시타 아키라,"박윤경, 이현숙",2017-07-14,352,20000
확률과 통계 입문 : Basic Probability & Statistics,이재원, ,2017-07-10,352,20000
기초 미분적분학(개정판) : Pre Calculus,함남우, ,2017-07-07,392,22000
"IT CookBook, MFC 윈도우 프로그래밍",강경우, ,2017-06-26,512,27000
"IT CookBook, 기초부터 시작하는 PLC : 멜섹Q",정완보, ,2017-04-28,484,23000
객체지향 소프트웨어 공학,최은만, ,2017-04-10,608,29000
경영학원론,"유기현, 신형재, 권용만", ,2017-03-10,352,24000
기초 공업수학,마인숙, ,2017-02-28,392,20000
K-IFRS 적용 원가관리회계,조군제, ,2017-02-25,453,29000
"IT CookBook, 반도체 공학(개정판)",김동명, ,2017-02-17,908,35000
"IT CookBook, 기초 통신이론",김영길, ,2017-02-06,356,22000
데이터 아이코놀로지,박진완, ,2017-01-26,320,26000
최신 노사관계론,"민경호, 표건표", ,2017-01-20,379,25000
easy LED : 초보자를 위한 LED 가이드북,홍순관, ,2017-01-02,204,18000
"IT CookBook, 디지털 시스템 설계 및 실습 with VHDL & Verilog HDL",노승환, ,2017-01-02,440,25000
"IT CookBook, 기초 전기전자 에센스","모현선, 장성용, 홍익표", ,2016-12-31,528,25000
"IT CookBook, 비주얼 베이직 2015 for Beginner",임관철, ,2016-12-30,432,24000
"IT CookBook, 네트워크 해킹과 보안 개정3판 : 정보 보안 개론과 실습",양대일, ,2016-12-28,584,26000
"IT CookBook, HTML & CSS for Beginner",황재호, ,2016-11-10,472,23000
경제발전론과 현대중국,나까가네 카츠지,"강희정, 강경구",2016-09-19,308,21000
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 엔트리 & 햄스터","황준, 박광현, 이웅재, 최은정, 고혜영, 이재호, 손예진, 조민주", ,2016-09-05,252,20000
인간중심의 사용성평가,박형근, ,2016-08-30,350,25000
"IT CookBook, 인터넷 윤리","최희식, 김상균", ,2016-08-26,400,22000
파이썬으로 배우는 프로그래밍 기초,크리스 로피,"유형목, 이지호",2016-08-18,228,13000
"IT CookBook, 자바 프로그래밍 바이블","오경주, 염기호, 정용훈", ,2016-08-12,948,29000
제대로 알고 쓰는 R 통계분석,이윤환, ,2016-08-05,400,25000
"IT CookBook, 처음 만나는 디지털 논리회로","임석구, 홍경호", ,2016-07-25,448,22000
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 파이썬",우재남, ,2016-07-20,444,22000
"IT CookBook, 기초 신호 및 시스템",이철희, ,2016-07-18,492,26000
생생한 사례로 배우는 확률과 통계,이재원, ,2016-07-15,476,25000
공학과 경영,김상균, ,2016-07-07,404,26000
"IT CookBook, 운영체제(개정3판)",구현회, ,2016-06-30,684,27000
"IT CookBook, 처음 만나는 전자기학",곽동주, ,2016-06-28,412,23000
IT 해외 취업 가이드 : 미국편,송기봉, ,2016-06-11,296,18000
"IT CookBook, 따라 하면서 배우는 아두이노",허경용, ,2016-06-10,456,26000
온라인 유통마케팅,신광수, ,2016-03-05,673,40000
스크래치를 활용한 문제해결능력 향상,김종훈, ,2016-02-19,124,9000
인적자원관리론(개정판),윤두열, ,2016-02-10,434,28000
대학생을 위한 스크래치 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서,김종훈, ,2016-01-26,232,18000
최신 공학수학 with Sage Ⅱ,"이상구, 김영록, 박준현, 김응기, 이재화", ,2016-01-12,444,23000
"IT CookBook, 최신 이동통신 입문 : Mobile Communications",Jochen H. Schiller,"곽경섭, 고영채",2016-01-04,464,28000
"IT CookBook, 쉬운 영어로 읽는 최신 전산 영어(개정3판)",조준모, ,2015-12-30,300,17000
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2013",김지연, ,2015-12-28,504,25000
"IT CookBook, 컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론","이동명, 권오현, 고정국", ,2015-12-28,492,24000
"IT CookBook, 핵심이 보이는 반도체 공학",권기영, ,2015-12-18,568,28000
"IT CookBook, 시스템 분석과 설계(개정판) : 효과적인 비즈니스 정보시스템 개발",허원실, ,2015-12-01,408,25000
"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바",황희정, ,2015-10-26,512,25000
"IT CookBook, UI/UX 디자인 이론과 실습",이영주, ,2015-09-23,506,27000
"IT CookBook, 정보보안 이론과 실제",마크 스탬프,"안태남, 손용락, 이광석",2015-09-17,496,25000
문제로 익히는 영문회계기초,윤승준, ,2015-08-25,273,18000
"IT CookBook, 리눅스 프로그래밍 기초 : 시스템 호출, 라이브러리 함수별 실습","최태영, 황준하, 고재필, 윤현주, 김용호", ,2015-08-17,372,20000
앱 인벤터 2 : 구글과 MIT 앱 인벤터 개발팀이 안내하는 안드로이드 프로그래밍,"David Wolber, Hal Abelson, Ellen Spertus, Liz Looney","오일석, 이진선",2015-07-20,384,24000
easy LTE : 초보 기술자를 위한 이동통신 가이드북,이상근, ,2015-07-10,232,23000
"창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively",김은경, ,2015-07-10,320,23000
"IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍",강경우, ,2015-06-28,464,26000
MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB,"이광연, 설한국", ,2015-06-10,540,27000
창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL,조준동, ,2015-06-10,256,24000
"IT CookBook, XML 프로그래밍 : 체계적으로 배우는 XML 원리와 응용",홍성용, ,2015-06-08,672,27000
전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS,장윤석, ,2015-05-30,312,22000
"IT CookBook, Play 포토샵",원다예, ,2015-04-27,410,22000
"IT CookBook, 엑셀과 파워포인트 2013 개정판",강동진 외 4, ,2015-04-10,556,22000
한국경제의 이해,주성환, ,2015-03-10,443,25000
"IT CookBook, C C++로 배우는 자료구조론",주우석, ,2015-02-24,696,23000
"IT CookBook, 광통신 공학 : MATLAB과 함께하는 광통신 시스템",이종형, ,2015-02-24,480,28000
글로벌경영론,박기안, ,2015-02-20,458,27000
"IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습","신종홍, 장선봉, 지인호", ,2015-02-16,600,25000
"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지",하숙정, ,2015-02-16,520,20000
"IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013",김주영, ,2015-02-02,464,22000
"IT CookBook, 핵심이 보이는 신호 및 시스템 : 기본 이론부터 MATLAB 실습까지",이철희, ,2015-01-09,628,28000
"IT CookBook, 실전에 강한 PLC : 기본 이론부터 실습까지",정완보, ,2015-01-01,384,20000
"IT CookBook, 원리로 이해하는 통신이론 : Analog & Digital Communications",한동석, ,2015-01-01,352,24000
"IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!","채종서, 차유빈", ,2014-12-17,496,20000
"IT CookBook, Compact C 프로그래밍",김충석, ,2014-12-15,536,24000
"IT CookBook, 한글 2014 for Beginner",양숙희, ,2014-12-04,152,10000
"IT CookBook, 엑셀 2013 for Beginner",양숙희, ,2014-11-28,152,10000
"IT CookBook, 워드 2013 for Beginner",최희식, ,2014-10-28,160,10000
"IT CookBook, 파워포인트 2013 for Beginner",최희식, ,2014-10-28,176,10000
이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비,이재원, ,2014-10-10,400,26000
"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로, ,2014-09-02,284,23000
"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리",우종정, ,2014-08-11,572,26000
"IT CookBook, C 언어로 배우는 8051 마이크로프로세서",임석구, ,2014-07-28,596,25000
"IT CookBook, 회로이론 : Circuits","Fawwaz T. Ulaby, Michel M. Maharbiz","박병국, 조성재, 강인만, 김중빈",2014-07-22,708,34000
"Introduction To Algorithms, Third Edition","토머스 코멘, 찰스 레이서손, 로날드 리베스트, 클리포드 스타인","문병로, 심규석, 이충세",2014-07-10,1348,47000
"IT CookBook, 컴퓨터 비전",오일석, ,2014-07-01,600,35000
설계 프로세스로 배우는 창의적 공학설계,노승환, ,2014-06-27,336,20000
"IT CookBook, 빅데이터 컴퓨팅 기술","박두순, 문양세, 박영호, 윤찬현, 정영식, 장형석", ,2014-06-24,344,22000
"IT CookBook, 단계별로 배우는 전자회로 실험 : 기본 소자부터 응용 회로까지",이강윤, ,2014-06-05,456,22000
"IT CookBook, CMOS 디지털 집적회로 설계 : 기본 이론부터 실습까지",신경욱, ,2014-05-30,464,26000
"IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)","안치현, 김형철", ,2014-03-12,460,22000
"IT CookBook, 엑셀 2010 실무와 활용",전미진, ,2014-02-24,428,19000
"IT CookBook, 엑셀과 파워포인트 2010 실무와 활용","전미진, 고경희", ,2014-02-24,648,21000
"IT CookBook, 파워포인트 2010 실무와 활용",고경희, ,2014-02-24,448,19000
"IT CookBook, 초보자의 첫 번째 워드 2010",최희식, ,2014-02-19,160,10000
"IT CookBook, New 인터넷 이해와 활용",김경신, ,2014-01-09,464,25000
"IT CookBook, 실감나게 배우는 제어공학","한수희, 이영삼, 권보규, 권오규, 권욱현", ,2014-01-02,620,28000
"IT CookBook, 디지털 공학 : 논리회로의 설계 원리","김대정, 모현선", ,2013-12-02,596,28000
대학수학 Plus : University Mathematics,이재원, ,2013-10-14,528,26000
연구조사방법론 SPSS와 AMOS 활용(개정증보판),강병서, ,2013-09-10,423,24000
혁신시대의 경쟁력 강화를 위한 경영전략,민경호, ,2013-08-30,380,23000
갈등관리와 협상,신군재, ,2013-08-25,256,15000
"IT CookBook, 단계별로 따라하며 배우는 디지털 공학 실험","이승호, 민경옥", ,2013-08-21,372,22000
기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수, ,2013-08-21,384,18000
"IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스",주우석, ,2013-08-18,908,38000
"IT CookBook, 인공지능 개론",마이클 네그네빗스키,김용혁,2013-08-13,484,25000
"IT CookBook, 현대 반도체 소자 공학 : Modern Semiconductor Devices for Integrated Circuits",첸밍 후(Chenming Calvin Hu),"권기영, 신형철, 이종호",2013-08-13,456,25000
"IT CookBook, enjoy design 포토샵 CS6",이영주, ,2013-07-28,522,25000
"IT CookBook, TCP/IP 윈도우 소켓 프로그래밍",김선우, ,2013-07-28,604,25000
"IT CookBook, 전자회로 : 핵심 개념부터 응용까지","강문식, 신경욱", ,2013-07-25,860,32000
"IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계",이상설, ,2013-07-02,604,29000
"IT CookBook, 자바로 배우는 쉬운 자료구조",이지영, ,2013-07-02,536,24800
"IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조","김종훈, 김종진", ,2013-07-02,384,20000
"IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행","성윤정, 김태은", ,2013-06-19,676,25000
"IT CookBook, 반도체 공학 연습문제 풀이집",김동명, ,2013-05-31,336,22000
"IT CookBook, C 프로그래밍","강동진, 하숙정, 임수연, 송무희, 박보석", ,2013-03-20,652,24000
"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영, 정영준", ,2013-03-20,496,21000
"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희, ,2013-03-12,152,10000
"IT CookBook, 개념이 보이는 물리전자공학",이현용, ,2013-02-28,416,24000
문제해결력을 키우는 이공계 글쓰기 : 발표와 토론까지,한성우, ,2013-02-28,396,18000
Essential Calculus,James Stewart, ,2012-07-08,960,36000
의사결정회계,정재권, ,2011-08-25,506,28000
"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems","정호영, 임승각", ,2011-01-31,576,25000
인간관계론,"유기현, 송병선, 권용만", ,2008-09-15,415,25000
